campeão;região;título;função;frase;história
Talon;Noxus;A sombra da lâmina;Assassino;''Os três guerreiros mais mortais em toda Valoran são vinculados à casa de Du Couteau: meu pai, eu, e Talon. Desafie-nos, se tiver coragem.''~ Katarina Du Couteau;Talon é a adaga na escuridão, um assassino impiedoso capaz de atacar sem aviso e escapar antes que qualquer alarme soe. Ele construiu uma reputação perigosa nas ruas brutais de Noxus, onde foi forçado a lutar, matar e roubar para sobreviver. Adotado pela notória família Du Couteau, ele agora usa suas habilidades mortais seguindo os comandos do império, assassinando líderes inimigos, capitães e heróis… além de qualquer noxiano tolo o suficiente para ganhar o desprezo de seus mestres.
Taric;Monte Targon;O escudo de Valoran;Suporte;"As melhores armas são belas.";Taric é o Aspecto do Protetor, portando um incrível poder como o guardião da vida, do amor e da beleza de Runeterra. Punido por faltar ao cumprimento de seu dever e exilado de Demacia, sua terra natal, Taric subiu o Monte Targon em busca de redenção, mas acabou por descobrir um chamado maior dentre as estrelas. Imbuído do poder ancestral de Targon, o Escudo de Valoran agora mantém vigilância contra a pérfida corrupção do Vazio.
Teemo;Bandópolis;O explorador veloz;Atirador;"Capitão teemo no comando";Indiferente até aos obstáculos mais perigosos e ameaçadores, Teemo vasculha o mundo com infinito entusiasmo e animação. Um yordel com uma inabalável moral que se orgulha de seguir o Código dos Escoteiros de Bandópolis, às vezes com tanta dedicação que não se toca das possíveis consequências de suas ações. Embora alguns duvidem da existência dos escoteiros, uma coisa é certa: nunca se deve duvidar das convicções de Teemo.
Thresh;Ilhas das Sombras;O guardião das correntes;Suporte;'A mente é algo maravilhoso de se destruir.';Sádico e astuto, Thresh é um espírito ambicioso e impaciente da Ilha das Sombras. Antes ele já fora o guardião de incontáveis segredos arcanos, mas buscou poderes maiores do que a vida e a morte e agora os mantém atormentando e corrompendo as pessoas com engenho cruel e excruciante. Suas vítimas sofrem muito além de seu corpo mortal, pois Thresh desfere agonia em suas almas, aprisionando-as em sua lanterna maldita para torturá-las por toda a eternidade.
Tristana;Bandópolis;A artilheira Yordle;Lutador;"Boomer está mandando um 'oi'!";Apesar de muitos outros yordles focarem sua energia em descobertas, invenções ou simplesmente travessuras, Tristana sempre se inspirou nas aventuras de grandes guerreiros. Ela ouviu muito sobre Runeterra, suas facções e suas guerras, e acreditava que sua raça também poderia se tornar digna de lendas. Pisando no mundo pela primeira vez, ela pegou seu canhão de confiança, Boomer, e agora salta para a batalha com coragem e otimismo inabaláveis.
Trundle;Freljord;O rei dos trolls;Lutador;''Passe a perna em todo mundo que não puder descer o porrete, e desça o porrete em todo mundo que não puder passar a perna.'';Trundle é um troll gigantesco e traiçoeiro com uma tendência particularmente perversa, e não há nada que ele não possa submeter a cacetadas, nem mesmo a própria Freljord. Violentamente territorial, ele persegue qualquer um tolo o suficiente de entrar em seu domínio. Então, com seu enorme porrete de Gelo Verdadeiro, ele gela seus inimigos até os ossos e os empala com pilares dentados congelados, rindo enquanto eles sangram na tundra.
Tryndamere;Freljord;O rei bárbaro;Lutador;''A minha arma é a ira.'';Carregado por fúria e raiva desenfreadas, Tryndamere galgou seu caminho através de Freljord, desafiando abertamente os maiores guerreiros do norte em preparo para os dias sombrios que virão. O bárbaro furioso já procurou por vingança pela aniquilação de seu clã, mas recentemente ele encontrou uma companhia em Ashe, a mãe guerreira de Avarosa, além de um lar entre seu povo. Sua força quase desumana e resistência são lendárias, e elas permitiram que ele e seus aliados conquistassem muitas vitórias contra as maiores adversidades.
Twisted Fate;Águas de Sentina;O mestre das cartas;Mago;"Não é apostar se você não puder perder...";Twisted Fate é um infame trapaceiro que apostou e encantou tudo em seu caminho por boa parte do mundo, conquistando a inimizade e admiração tanto de ricos quanto tolos. Ele raramente leva coisas a sério, saudando cada dia com um sorriso zombeteiro e elegância negligente. Twisted Fate sempre tem um ás na manga, não importa como.
Twitch;Zaun;O semeador da peste;Atirador;"Jogaram isto fora? Mas é tão brilhante!";Um rato zaunita empesteado de nascença e um apreciador da imundície por paixão, Twitch não tem medo de sujar as patas. Mirando com uma balestra embebida em químicos no centro do coração dourado de Piltover, ele jurou mostrar àqueles na cidade de cima quão imundos eles realmente são. Sempre à espreita, quando ele não está se esgueirando no Sumidouro, ele está cavando fundo no lixo dos outros por tesouros descartados… e talvez um sanduíche bolorento.
Udyr;Freljord;O andarilho espiritual;Lutador;''Através de nós, a vontade da natureza é feita.'';Udyr é mais do que um homem; ele é um recipiente para o poder indomado de quatro espíritos animais primitivos. Ao incorporar a natureza bestial dos espíritos, Udyr pode fazer uso de suas forças únicas: o tigre lhe concede velocidade e ferocidade; a tartaruga, resiliência; o urso, força; e a fênix, sua chama imortal. A junção desses poderes permite que Udyr se volte contra todos aqueles que tentam ferir a ordem natural.
Urgot;Zaun;O encouraçado;Lutador;"Só há uma forma de medir um homem. Deixando-o... em... pedaços.";Na época em que era um poderoso carrasco noxiano, Urgot foi traído pelo império para o qual havia tirado tantas vidas. Aprisionado em correntes de ferro, ele foi forçado a aprender o verdadeiro significado da força na Draga — uma mina carcerária nas profundezas de Zaun. Após emergir de um desastre que espalhou o caos por toda a cidade, ele se tornou uma figura imponente no submundo criminoso da cidade. Hoje ele usa as mesmas correntes que o aprisionaram para erguer suas vítimas e seu objetivo é expurgar todos os seres indignos do seu novo lar, tornando-o um crisol de dor.
Varus;Ionia;A flecha da vingança;Atirador;“Vocês não destruíram todos nós. E esse erro será seu fim.”;Varus, que outrora fora parte da antiga raça dos darkin, era um assassino mortal que amava atormentar seus inimigos, levando-os quase à loucura antes de atirar a flecha da morte. Ele foi aprisionado no final da Guerra dos Darkins, mas escapou séculos depois através dos corpos de dois caçadores ionianos que o libertaram involuntariamente, amaldiçoados a carregar o arco que contém sua essência. Varus agora busca por aqueles que o prenderam a fim de realizar sua vingança brutal, mas as almas mortais dentro dele ainda resistem a cada passo que dá.
Vayne;Demacia;A caçadora noturna;Atirador;"Não mato criaturas como você porque é certo. Mato porque eu gosto.";Shauna Vayne é uma caçadora de monstros demaciana mortal e implacável que dedicou sua vida a encontrar e destruir o monstro que assassinou sua família. Armada com uma balestra em seu pulso e com um coração cheio de vingança, ela só é realmente feliz quando está matando praticantes ou criações das artes obscuras, atacando das sombras com um turbilhão de dardos de prata.
Veigar;Bandópolis;O pequeno mestre do mal;Mago;''Quem disse que o mal precisa ter uma aparência assustadora?'';Veigar, um mestre entusiasta da feitiçaria das trevas, aderiu a poderes dos quais poucos mortais se aproximam. Um habitante inconformado de Bandópolis, ele desejava ultrapassar as limitações da magia yordle, se voltando, então, para os textos arcanos que permaneceram escondidos por milhares de anos. Agora uma criatura teimosa com uma fascinação sem fim pelos mistérios do universo, Veigar é constantemente subestimado por outros. E mesmo que ele acredite ser verdadeiramente mau, ele possui um senso de ética interior que leva alguns a se perguntarem sobre suas verdadeiras motivações.
Vel'Koz;Vazio;O olho do vazio;Mago;"Somente na desconstrução que a verdade é revelada.";Não é claro se Vel’Koz foi a primeira criatura do Vazio a aparecer em Runeterra, mas certamente nunca houve outra que se igualasse ao seu nível de compreensão cruel e calculista. Enquanto sua raça devora ou perverte tudo ao seu redor, ele busca, em vez disso, examinar e estudar o domínio físico, assim como os estranhos seres guerreiros que habitam nele, por quaisquer fraquezas que o Vazio possa explorar. Mas Vel’Koz está longe de ser um observador passivo e é capaz de atacar ameaças com plasma mortal ou desfazer o próprio tecido do mundo.
Vi;Piltover;A defensora de Piltover;Lutador;''É uma pena. Eu tenho dois punhos, mas você só tem uma cara.'';Antiga criminosa das ruas violentas de Zaun, Vi é uma mulher temível, impulsiva e explosiva que tem muito pouco respeito por autoridades. Após ter crescido completamente só, Vi desenvolveu instintos de sobrevivência extremamente certeiros e um senso de humor extremamente ácido. Agora trabalhando com os Protetores de Piltover para manter a paz, ela porta poderosas manoplas hextec capazes de esmagar paredes e suspeitos com a mesma facilidade.
Viktor;Zaun;O arauto das máquinas;Mago;"Um coração mecânico nunca perde o ritmo e nunca treme de emoção. Então, por que alguém confiaria a sua vida a um músculo de carne e sangue tão delicado?";Viktor, o arauto de uma nova era de tecnologia, devotou sua vida ao avanço da humanidade. Um idealista que busca elevar o povo de Zaun a um novo nível de compreensão, ele acredita que somente ao aceitar a evolução gloriosa da tecnologia será possível que a humanidade alcance seu verdadeiro potencial. Com um corpo melhorado por aço e ciência, Viktor é zeloso na sua busca por este brilhante futuro.
Vladimir;Noxus;O sanguinário escarlate;Mago;''Aquilo que corre por suas veias será o seu fim.'';Um demônio sedento pelo sangue dos mortais, Vladimir tem influenciado os acontecimentos de Noxus desde os primórdios do império. Além de ter estendido sua vida por meios não naturais, sua maestria em hemomancia o permite controlar as mentes e corpos de outros como se fossem os seus. Nos exuberantes salões da aristocracia noxiana, isso possibilitou que construísse um culto fanático de personalidades ao seu redor, tudo isso para que ele possa sangrar seus inimigos nos becos escuros.
Volibear;Freljord;O rugido do trovão;Lutador;''Os Ursine não conhecem a paz sem guerra.'';O semideus trovejante conhecido como o Urso dos Mil Furos é o espírito guerreiro de Freljord. Milhares de anos de guerras amargas e constantes, lutadas nos mais frios dos invernos, temperaram Volibear em uma força indomável que atira seus relâmpagos dos picos mais altos; e o rugir das tempestades geladas nada mais é do que um sinal de que mais um de seus ataques está por vir. Qualquer um que ousar enfrentá-lo se descobrirá no meio do seu feroz exército de guerreiros Ursine… presumindo que não seja vítima de suas garras brutais.
Warwick;Zaun;A ira descontrolada de Zaun;Lutador;"Onde há sangue... há ira!";Warwick é um monstro que caça pelas ruas cinzentas de Zaun. Transformado a partir de experimentos agonizantes, seu corpo agora é fundido a um sistema complexo de câmaras e bombas, um maquinário que enche suas veias com fúria química. Ele persegue os criminosos que aterrorizam as profundezas da cidade, movimentando-se pelas sombras. Warwick é atraído por sangue; para ele, esse aroma é enlouquecedor. Ninguém que derrama sangue é capaz de fugir dele.
Wukong;Ionia;O macaco rei;Lutador;"Nem tente me deter!";Wukong é um trapaceiro vastaya que usa sua força, agilidade e inteligência para confundir os oponentes e deixar a situação a seu favor. Depois de encontrar uma eterna amizade no guerreiro conhecido como Master Yi, Wukong se tornou o último aprendiz da ancestral arte marcial conhecida como Wu Ju. Armado com um cajado encantado, Wukong tenta evitar que Ionia caia em ruína.
Xayah;Ionia;A rebelde;Atirador;"Já foi apunhalado por uma pluma?";Mortal e precisa, Xayah é uma vastaya revolucionária que trava sua própria batalha para salvar seu povo. Ela usa sua agilidade, malícia e plumas afiadas para retalhar qualquer um que atrapalhe seu caminho. Xayah luta ao lado de seu parceiro e amante, Rakan, para proteger sua tribo em extinção e restaurar a antiga glória de sua raça.
Xerath;Shurima;O mago ascendente;Mago;'Uma vida de escravidão me preparou para uma eternidade de soberania.';Xerath é um mago Ascendente da antiga Shurima, um ser de energia arcana que existe em meio a estilhaços de um sarcófago mágico. Por milênios, ele ficou enclausurado debaixo das areias do deserto, mas o ressurgimento de Shurima o libertou de sua antiga prisão. Enlouquecido pelo próprio poder, ele agora busca tomar o que crê ser seu por direito e substituir as civilizações existentes do mundo com uma criada em sua própria imagem.
Xin Zhao;Demacia;O senescal de Demacia;Lutador;''A morte é inevitável, você somente se esquiva da derrota.'';Xin Zhao é um guerreiro determinado, leal à dinastia Lumescudo. No passado, ele foi condenado a lutar como gladiador em Noxus, e sobreviveu à incontáveis lutas, mas depois de ser libertado por forças demacianas, ele prometeu sua vida e lealdade aos seus corajosos salvadores. Armado com sua lança de três pontas favorita, Xin Zhao agora luta pelo reino que adotou, desafiando com audácia qualquer inimigo, não importando as chances de vitória.
Yasuo;Ionia;O imperdoável;Lutador;“A morte é como o vento: está sempre ao meu lado.”;Yasuo, um ioniano extremamente determinado, é também um ágil espadachim que usa o próprio ar como arma para enfrentar seus inimigos. Quando jovem, ele teve seu orgulho ferido ao ser acusado injustamente do assassinato de seu mestre — sem conseguir provar sua inocência, ele foi forçado a matar o próprio irmão para se defender. Até hoje, mesmo depois do verdadeiro assassino do seu mestre ter sido revelado, Yasuo ainda não consegue se perdoar e vaga por sua terra natal com apenas o vento para guiar sua espada.
Yorick;Ilhas das Sombras;Pasto de almas;Lutador;'Essas ilhas… Como elas gritam.';Último sobrevivente de uma ordem religiosa há muito esquecida, Yorick é ao mesmo tempo abençoado e amaldiçoado pelo poder que exerce sobre os mortos. Preso na Ilha das Sombras, suas únicas companhias são os defuntos e espíritos atormentados que ele atrai para si. As ações monstruosas de Yorick mascaram seu nobre propósito: libertar sua terra da maldição da Ruína.
Zac;Zaun;A arma secreta;Tanque;"Quanto mais bravo você ficar, mais isso vai doer...";Zac é produto de um derramamento tóxico que percorreu um tubo quimtec e se armazenou em uma caverna isolada no Sumidouro de Zaun. Apesar de suas origens humildes, Zac deixou de ser uma lama qualquer e se tornou um ser pensante que mora nos encanamentos da cidade e emerge ocasionalmente para ajudar aqueles que não podem se ajudar ou para reconstruir a infraestrutura danificada de Zaun.
Zed;Ionia;O mestre das sombras;Assassino;''Equilíbrio é uma mentira. Nós somos os verdadeiros ninjas.'';Zed, absolutamente impiedoso e sem misericórdia, é o líder da Ordem das Sombras, uma organização criada com a intenção de militarizar as artes marciais tradicionais de Ionia para expulsar os invasores noxianos. Durante a guerra, o desespero o levou a liberar a forma secreta das sombras, uma magia espiritual malévola tão perigosa e corruptora quanto poderosa. Zed dominou todas essas técnicas proibidas para destruir qualquer coisa que ele considerar como uma ameaça a sua nação, ou a sua nova ordem.
Ziggs;Zaun;O especialista em Hexplosivos;Mago;'Isso vai ser um estouro.';O yordle Ziggs, amante de grandes bombas e pavios curtos, é uma força explosiva da natureza. Já entediado com sua vida previsível como assistente de um inventor de Piltover, ele fez amizade com uma bombardeira louca de cabelo azul chamada Jinx. Depois de uma noite louca na cidade com sua nova amiga, Ziggs aceitou seu conselho e se mudou para Zaun, onde ele agora explora suas fascinações com mais liberdade, aterrorizando tanto os barões químicos quanto os cidadãos comuns na sua aventura sem fim por explodir coisas.
Zilean;Runeterra;O guardião do tempo;Suporte;''Não há tristeza maior do que a de uma perda que ainda acontecerá.'';Outrora um poderoso mago icathiano, Zilean se obcecou com a passagem do tempo depois de testemunhar a destruição de sua terra natal pelo Vazio. Sem conseguir gastar um minuto que fosse para lamentar a perda catastrófica, ele invocou uma antiga magia temporal para adivinhar todos os finais possíveis. Tendo se tornado essencialmente imortal com isso, Zilean agora caminha entre passado, presente e futuro, curvando e distorcendo o fluxo do tempo a sua volta, sempre procurando por aquele momento fugaz que vai fazer o relógio voltar e desfazer a destruição de Icathia.
Zoe;Monte Targon;O aspecto do crepúsculo;Mago;"Ninguém precisa crescer se não quiser. Ou talvez precise. Realmente não sei.";Como a personificação da travessura, imaginação e mudança, Zoe atua como a mensageira cósmica de Targon, anunciando a chegada de grandes eventos que redefinem mundos. Sua mera presença altera a matemática arcana que governa as realidades, às vezes causando cataclismas não intencionais. Talvez isso explique a forma despretensiosa e jovial com a qual Zoe encara seu dever e que permite que ela tenha tempo de sobra para pregar peças nos mortais, fazer brincadeirinhas ou dar um jeitinho de se divertir de alguma forma. Um encontro com Zoe pode ser agradável e revigorante, mas é sempre mais do que parece e geralmente extremamente perigoso.
Zyra;Runeterra;A ascensão dos espinhos;Mago;''Aproxime-se da flor e poderá se arranhar nos espinhos.'';Nascida em uma antiga catástrofe mágica, Zyra é a fúria da natureza em forma física e uma sedutora criatura híbrida entre planta e humana, que faz surgir a vida a cada passo que dá. Ela vê os muitos mortais de Valoran como nada além de presas para suas crias semeadas e não sente nada ao destroçá-los em um turbilhão de farpas mortais. Apesar de seu real propósito ainda não ter sido descoberto, Zyra vaga pelo mundo, satisfazendo seus desejos primais de colonizar e estrangular toda e qualquer outra vida estranha que encontra.
